title,description,pursuing,stream
English Language and Literature ,Focuses on developing strong reading writing and comprehension skills. This typically involves studying literature (American British or World) composition grammar and vocabulary. ,10th 9th ,none
Mathematics , Students typically take Geometry or Algebra II  depending on the math courses they took in 9th grade. ,10th 9th,none 
Science , Common choices include Biology  Chemistry  or Physics  often including both theoretical knowledge and practical experiments. ,10th 9th ,none
Social Studies , Usually covers subjects like history (U.S.  World  or European)  government  civics  geography  and potentially economics ,10th 9th ,none
Foreign Language , Common options include Spanish  French  or German  although others may be available. Many colleges prefer students to have taken at least three years of the same foreign language. ,10th 9th ,none
Arts and Design , Options include drawing  painting  sculpture  drama  music  computer graphics  or other visual arts forms. ,10th 9th ,none
Computer Science and Programming , Electives like coding  web design  or programming can provide valuable skills for future careers in technology and engineering. ,10th 9th ,none
Physics , Study of matter energy and the laws governing the universe (mechanics electricity optics modern physics). ,11th 12th ,science
Chemistry , Composition  properties  and reactions of substances (organic inorganic physical and analytical chemistry). ,11th 12th ,science
Biology , Study of life and living organisms (cell structure physiology genetics biotechnology). ,11th 12th ,science
Mathematics , Develops logical reasoning and analytical skills covering algebra trigonometry calculus and statistics. ,11th 12th ,science commerce
English , Develops communication reading and writing skills. ,11th 12th ,science
Computer Science (CS) ,Focuses on theoretical and practical aspects of computers  including programming languages (e.g.  Python  C++  Java)  data structures  algorithms  computer architecture  and networking. ,11th 12th ,science commerce
Informatics Practices (IT) ,More practical and application oriented compared to CS  it covers topics like database management (SQL)  web development (HTML  CSS  JavaScript)  programming (e.g.  Python)  and basic hardware/software concepts. ,11th 12th ,science commerce
Physical Education (PE) ,Focuses on physical fitness  sports  health  and exercise science topics. ,11th 12th 10th 9th ,science commerce arts humanities
Environmental Science ,An interdisciplinary subject that examines the interaction between humans and the natural environment  focusing on issues like pollution  conservation  and sustainable development. ,11th 12th ,science
Engineering Drawing ,Develops technical drawing and design skills essential for engineering disciplines  covering aspects like plane and solid geometry  machine drawing  and technical sketching. ,11th 12th ,science
Psychology ,The scientific study of mind and behavior  exploring mental processes  emotions  motivations  and observable actions. It investigates the interaction between the body  mind  and the environment. ,11th 12th ,science arts humanities
Biotechnology ,A multidisciplinary field combining biology with technology to develop products and solutions for healthcare  agriculture  and other industries. It covers areas like genetic engineering  bioinformatics  and bioprocess engineering. ,11th 12th ,science
Accountancy , Principles and practices of financial accounting  analyzing and reporting financial information. ,11th 12th ,commerce 
Business Studies , Explores various aspects of business operations  including management  marketing  and the business environment. ,11th 12th ,commerce 
Economics , Studies how societies utilize resources to produce and distribute goods and services (microeconomics  macroeconomics  statistics). ,11th 12th ,commerce 
Statistics , Statistics is the scientific discipline concerned with the collection  organization  analysis  interpretation  and presentation of data. ,11th 12th ,commerce 
Fine Arts ,Fine arts encompasses creative disciplines focused on aesthetic expression and the creation of works appreciated primarily for their beauty and emotional power. ,11th 12th ,commerce 
Entrepreneurship , Entrepreneurship is the process of creating  developing  and managing a new business venture or project  often involving innovation  risk taking  and the pursuit of profit or value creation. ,11th 12th ,commerce 
History , Study of past events  civilizations  and their impact on the present. ,11th 12th ,humanities arts 
Political Science , Explores governance  political systems  and international relations. ,11th 12th ,humanities arts 
Geography , Understanding of Earth's landscapes  environments  and human environment interactions. ,11th 12th ,humanities arts 
Sociology , Evolution of human society  social structures  and interactions. ,11th 12th ,humanities arts 
Media Studies ,Media Studies is an academic field that critically examines the content  history  and effects of various forms of media  like television  film  radio  and digital platforms  to understand their impact on society  culture  and communication ,11th 12th ,humanities arts 
Fashion Studies ,Fashion Studies is a comprehensive academic field that explores the cultural  historical  sociological  psychological  economic  and technological dimensions of fashion  encompassing not just clothing but also accessories  lifestyle  and its impact on society. ,11th 12th ,humanities arts 
Human Rights and Gender Studies ,Human Rights and Gender Studies is an interdisciplinary field that examines the intersection of human rights principles with the social  cultural  and political construction of gender  exploring issues like equality  discrimination  violence  and empowerment across diverse contexts. ,11th 12th ,humanities arts 
Mathematics for Computer Science , This includes Calculus  Linear Algebra  Probability and Statistics  and Discrete Mathematics (Logic  Set Theory  Graph Theory). These mathematical tools are crucial for problem solving and understanding algorithms. ,graduation ,cse ece eee food biotech IT civil aeronautical aerospace puresciences ca 
Physics for Engineers , Covers basic concepts of physics relevant to technology. ,graduation ,cse ece eee food biotech IT civil aeronautical aerospace puresciences ca
Chemistry for Engineers , Introduces chemical principles with industrial applications. ,graduation ,cse ece eee food biotech it
Basic Electrical and Electronics Engineering , Covers the fundamentals of electrical technology and electronic circuits. ,graduation ,cse ece eee food biotech it civil aeronautical aerospace puresciences ca
English for Communication / Technical Report Writing , Focuses on developing effective communication skills  including technical writing  essential for documentation and professional communication. ,graduation ,cse ece eee food biotech it civil aeronautical aerospace puresciences ca
Engineering Graphics and Design , Introduces technical drawing and design principles. ,graduation ,cse ece eee food biotech it civil aeronautical aerospace puresciences ca
Environmental Studies , Deals with environmental science issues and their relation to engineering. ,graduation ,cse ece eee food biotech it civil aeronautical aerospace puresciences ca
Professional Ethics / Engineering Ethics , Covers ethical considerations in engineering and technology development. ,graduation ,cse ece eee food biotech it civil aeronautical aerospace puresciences ca
Programming Fundamentals , Teaches the basics of programming using languages like C  C++  Java  or Python. ,graduation ,cse ece eee food biotech it civil aeronautical aerospace puresciences ca
Data Structures and Algorithms , Deals with the efficient organization and manipulation of data using structures like arrays  lists  trees  and graphs  as well as algorithm design and analysis techniques like sorting and searching. ,graduation ,cse it
Computer Organization and Architecture , Studies the internal structure and functioning of computer hardware  including the CPU  memory  and I/O systems. ,graduation ,cse it
Operating Systems , Covers the principles of operating systems  including process management  memory management  and file systems. ,graduation ,cse it
Database Management Systems (DBMS) , Focuses on the design  management  and querying of databases using concepts like relational models and SQL. ,graduation ,cse it
Computer Networks , Covers the principles and protocols of computer networking  including the OSI and TCP/IP models. ,graduation ,cse it
Software Engineering , Focuses on systematic approaches to software design  development  testing  and maintenance  including methodologies like Agile and Waterfall. ,graduation ,cse it
Object Oriented Programming (OOP) , Focuses on programming paradigms using concepts like classes  objects  and inheritance  typically with languages like C++ or Java. ,graduation ,cse it
Theory of Computation , Explores the theoretical foundations of computing  including automata theory  formal languages  computability  and complexity theory. ,graduation ,cse it
Digital Logic Design , Covers the fundamentals of digital circuits and logic design. ,graduation ,cse it
Compiler Design , Deals with the process of translating high level programming languages into machine code. ,graduation ,cse it
Artificial Intelligence (AI) and Machine Learning (ML) , Covers search algorithms  machine learning techniques (supervised  unsupervised  reinforcement learning)  neural networks  Deep Learning  Natural Language Processing (NLP)  and Computer Vision. ,graduation ,cse it
Data Science and Big Data Analytics , Focuses on statistical analysis  data mining  data visualization  and the use of big data technologies like Hadoop and Spark. ,graduation ,cse it
Cyber Security , Covers cryptography  network security  ethical hacking  and secure communication. ,graduation ,cse it
Cloud Computing , Deals with cloud architecture  virtualization  and services provided by platforms like AWS  Azure  and Google Cloud. ,graduation ,cse it
Internet of Things (IoT) , Focuses on embedded systems  sensor networks  and IoT protocols. ,graduation ,cse it
Web Technologies and Development , Covers frontend (HTML  CSS  JavaScript  frameworks like React and Angular) and backend development (Node.js  Django). ,graduation ,cse it
Mobile Application Development , Focuses on developing applications for Android (Java/Kotlin) and iOS (Swift). ,graduation ,cse it
Computer Graphics , Introduces techniques for creating and manipulating images and 3D modeling. ,graduation ,cse it
Human Computer Interaction (HCI) , Focuses on designing user friendly interfaces and enhancing user experience. ,graduation ,cse it
