Role,Company,location,duration,stripend
Graphic Design (Female),Aachman Veda,Gurgaon,6 Months,"15,000 /month"
Telecalling,Effizent Seele Pvt Ltd,"Azamgarh, Uttar Pradesh",6 Months,"10,000 - 35,000 /month"
Content Curation And Digital Marketing,Forum Of Industry And Academic Knowledge Sharing (FIAKS),Mumbai (Hybrid),3 Months,"10,000 /month"
Business Development (Sales),Mavericks Edu,"Noida, Ghaziabad, Gurgaon, Greater Noida",3 Months,"10,000 /month"
Influencer Marketing,Nippetals,"Mumbai, Goa Velha (Hybrid)",3 Months,"5,000-10,000 /month"
Digital & Social Media Marketing,Nippetals,"Mumbai, Goa Velha (Hybrid)",3 Months,"5,000-10,000 /month"
Talent Acquisition,Grexa AI Private Limited,Work from home,3 Months,"10,000 - 15,000 /month"
Video Editing/Making,Ace Proton Communications & Digital Media Private Limited,Mumbai,6 Months,"7,000 - 9,000 /month"
Sales And Event Marketing,Sportz Ventures Private Limited,"Thane, Navi Mumbai, Mumbai",6 Weeks,"9,000 - 11,500 /month"
Law/Legal,KMG LEGAL,Delhi,6 Months,Unpaid
Marketing,TheCoinRepublic,"Indore, Vidisha, Hoshangabad, Bhopal, Sehore, Bairagarh, Misrod, Mandideep",6 Months,"10,000 - 12,000 /month"
Photography,Ace Proton Communications & Digital Media Private Limited,Mumbai,6 Months,"7,000 - 9,000 /month"
Video Editing/Making,Ace Proton Communications & Digital Media Private Limited,Mumbai,6 Months,"7,000 - 9,000 /month"
Media & Public Relations (PR),Ace Proton Communications & Digital Media Private Limited,Mumbai,6 Months,"7,000 - 9,000 /month"
Interior Design,PiStyle.in,Mumbai,2 Months,"5,000-10,000 /month"
Client Servicing,Ace Proton Communications & Digital Media Private Limited,Mumbai,6 Months,"7,000 - 9,000 /month"
Travel Consultant,Thomas Cook,"Amritsar, Chandigarh, Jalandhar, Ludhiana, Patiala, Nawanshahr, Punjab",3 Months,"3,000 - 5,000 /month"
Search Engine Optimization (SEO),Ace Proton Communications & Digital Media Private Limited,Mumbai,6 Months,"7,000 - 9,000 /month"
Digital Marketing,Ace Proton Communications & Digital Media Private Limited,Mumbai,6 Months,"7,000 - 9,000 /month"
Content Writing,Ace Proton Communications & Digital Media Private Limited,Mumbai,6 Months,"7,000 - 9,000 /month"
Social Media Marketing,Ace Proton Communications & Digital Media Private Limited,Mumbai,6 Months,"7,000 - 9,000 /month"
